Team,Team Score,Opponent,Opponent Score
Albany NY,81,Siena,72
Arkansas St,97,Lehigh,89
California,67,SE Louisiana,55
Col Charleston,72,SC Upstate,60
Colorado,75,Wofford,60
Colorado St,80,Alcorn St,58
Dayton,64,New Mexico,57
Denver,72,CS Sacramento,61
Duquesne,78,Cleveland St,71
E Washington,96,San Francisco,90
ETSU,72,UC Irvine,66
Florida,65,Miami FL,56
Florida Intl,74,Binghamton,57
Georgetown,85,Howard,72
Gonzaga,73,Iowa St,71
Hawaii,64,Ark Pine Bluff,44
Indiana,85,MS Valley St,52
La Salle,89,Drexel,78
Louisiana Tech,74,MD E Shore,53
Missouri St,64,N Dakota St,50
Monmouth NJ,80,Holy Cross,77
MTSU,66,Evansville,55
New Hampshire,65,Winthrop,60
Nicholls St,106,Samford,103
North Dakota,57,CS Bakersfield,55
North Texas,81,Hartford,78
Northeastern,73,Kent,70
Portland,96,CS Northridge,78
Portland St,91,Pepperdine,85
Quinnipiac,80,Indiana St,77
S Dakota St,81,WI Milwaukee,58
San Jose St,88,Washington St,76
South Dakota,72,Montana,67
St Mary's CA,76,UAB,63
Stanford,66,Seton Hall,52
UCLA,74,Texas A&M,67
ULL,84,TX Southern,73
UNC Wilmington,102,Toledo,77
USC,96,Santa Barbara,72
Valparaiso,79,Ball St,73
Virginia Tech,66,Nebraska,53
Wisconsin,95,Prairie View,50
Wright St,75,North Florida,67
Arkansas,89,Mt St Mary's,76
Brown,91,Bryant,90
Butler,68,Utah,59
Charlotte,80,Appalachian St,72
Citadel,97,Presbyterian,83
Edwardsville,76,Grand Canyon,64
Florida St,75,Minnesota,67
High Point,62,Morgan St,61
Kentucky,115,Arizona St,69
Longwood,86,Dartmouth,80
Mississippi St,65,Northwestern LA,59
Missouri KC,86,SE Missouri St,75
NC Central,62,Missouri,52
Northwestern,65,Wake Forest,58
Oregon,68,Boise St,63
San Diego St,100,Savannah St,67
South Florida,71,Kennesaw,69
St Peter's,80,Boston Univ,67
Tulsa,79,Oral Roberts,65
ULM,77,SF Austin,72
West Virginia,108,Manhattan,61
Alabama,76,Charleston So,46
American Univ,57,W Illinois,50
Ark Little Rock,89,Cent Arkansas,87
Auburn,90,SC Upstate,83
Belmont,64,Lipscomb,62
Bradley,87,E Illinois,83
C Michigan,91,William & Mary,81
Chattanooga,68,Coastal Car,52
Creighton,93,Buffalo,72
Davidson,78,Mercer,57
Delaware St,79,St John's,72
Duke,78,Michigan St,69
East Carolina,68,Hampton,48
G Washington,77,Harvard,74
Hofstra,88,Columbia,86
Idaho St,77,Lamar,60
Illinois,88,NC State,74
Jacksonville St,72,Alabama St,69
Kansas,91,Long Beach St,61
LSU,84,Houston,65
Marist,81,MA Lowell,69
Nevada,77,Pacific,67
New Orleans,74,Tulane,59
Notre Dame,92,Iowa,78
Oklahoma,87,N Colorado,66
Penn St,67,Georgia Tech,60
Pittsburgh,73,Maryland,59
S Illinois,89,Murray St,85
Samford,68,St Louis,64
San Jose St,58,Idaho,49
TAM C. Christi,84,UTRGV,68
Texas St,80,McNeese St,68
TN Martin,82,FL Atlantic,81
UAB,75,Alabama A&M,45
UNC Greensboro,86,NC A&T,66
UT Arlington,72,Texas,61
VA Commonwealth,81,Princeton,70
Valparaiso,65,Rhode Island,62
Vanderbilt,83,Tennessee St,59
Villanova,82,Penn,57
Wisconsin,77,Syracuse,60
Xavier,85,N Dakota St,55
Arizona,85,TX Southern,63
Arkansas St,78,Cleveland St,51
Army,97,F Dickinson,78
Baylor,79,Sam Houston St,45
Boise St,71,SMU,62
Brown,81,St Francis NY,71
Bryant,79,Yale,70
Bucknell,73,Richmond,68
BYU,77,Utah St,63
California,68,Louisiana Tech,59
Central Conn,82,Maine,61
Charlotte,65,James Madison,56
Clemson,60,Nebraska,58
Colorado St,72,Colorado,58
Connecticut,51,Boston Univ,49
Cornell,80,Northeastern,77
DePaul,77,Drake,75
Drexel,74,Lafayette,70
E Kentucky,78,WKU,59
E Michigan,87,Detroit,61
Elon,84,Florida Intl,81
George Mason,54,Northern Iowa,50
Georgetown,96,Coppin St,44
Georgia St,81,Wright St,74
Holy Cross,55,Albany NY,49
IL Chicago,74,Chicago St,58
Illinois St,77,IUPUI,63
Indiana,76,North Carolina,67
Indiana St,63,N Illinois,52
IPFW,103,Austin Peay,99
Kansas St,80,WI Green Bay,61
Kennesaw,76,Florida A&M,74
La Salle,89,Lehigh,81
Long Island,75,Hartford,68
Louisville,71,Purdue,64
Loyola MD,71,Stony Brook,70
Loyola-Chicago,75,Norfolk St,62
Marquette,90,W Carolina,44
Marshall,98,Ohio,88
Massachusetts,62,Wagner,55
Memphis,84,Jackson St,69
Miami FL,73,Rutgers,61
Miami OH,78,Grambling,76
Missouri KC,84,South Dakota,82
MTSU,77,Mississippi,62
N Kentucky,84,Morehead St,79
NE Omaha,83,CS Fullerton,73
New Mexico,64,Abilene Chr,55
New Mexico St,78,Air Force,70
NJIT,83,St Francis PA,70
Old Dominion,59,Dartmouth,47
Providence,76,New Hampshire,62
Radford,74,VMI,67
Rice,90,Houston Bap,77
Sacred Heart,71,Fordham,70
San Francisco,78,Alcorn St,65
SE Louisiana,85,MD E Shore,75
South Alabama,78,Southern Miss,55
St Bonaventure,81,Siena,74
St Mary's CA,66,Stanford,51
TCU,86,Washington,71
Temple,78,St Joseph's PA,72
Texas Tech,69,Incarnate Word,48
UC Irvine,58,Santa Clara,55
UCF,81,Stetson,45
UCLA,98,UC Riverside,56
UMBC,81,Duquesne,72
UNC Wilmington,97,W Michigan,92
UNLV,89,Southern Utah,81
USC,76,San Diego,55
Virginia,63,Ohio St,61
Virginia Tech,73,Michigan,70
Washington St,83,Utah Valley,76
WI Milwaukee,72,Jacksonville,67
Winthrop,58,Furman,57
Wyoming,82,Denver,70
Youngstown St,75,Robert Morris,74
Arkansas,78,SF Austin,62
Cal Poly SLO,59,UT San Antonio,47
Cincinnati,55,Iowa St,54
Col Charleston,70,Navy,64
Fairfield,76,Rider,67
Florida,91,North Florida,60
Ga Southern,94,Savannah St,75
Gonzaga,97,MS Valley St,63
Lipscomb,104,Tennessee Tech,85
Mississippi St,74,Oregon St,57
Monmouth NJ,91,Quinnipiac,72
Oakland,92,Oral Roberts,64
Pacific,74,CS Sacramento,58
SE Missouri St,87,Cent Arkansas,63
Seton Hall,95,Columbia,71
South Carolina,68,Vermont,50
South Florida,80,Troy,74
TN Martin,73,Ark Pine Bluff,68
ULL,101,Nicholls St,69
Utah,92,Montana St,84
Canisius,77,Manhattan,76
Citadel,108,Colgate,101
Delaware,64,Delaware St,49
Duquesne,64,Pittsburgh,55
Indiana,83,Edwardsville,60
Iona,79,St Peter's,65
Kent,86,Grambling,57
Marist,72,Niagara,66
N Dakota St,85,NC A&T,67
San Francisco,82,Lamar,63
SC Upstate,80,Campbell,73
SMU,49,CS Bakersfield,43
St John's,95,Tulane,75
Texas,77,Alabama,68
Abilene Chr,85,Charleston So,82
Air Force,83,Missouri St,70
Arizona St,97,UNLV,73
Ark Little Rock,72,Tulsa,62
Arkansas,99,Austin Peay,62
Army,76,St Francis NY,56
Auburn,74,UAB,70
Baylor,76,Xavier,61
Belmont,85,Pepperdine,77
Binghamton,73,St Francis PA,70
Boston College,88,Dartmouth,70
Brown,75,Central Conn,58
Butler,82,Cent Arkansas,58
C Michigan,82,Ark Pine Bluff,59
Cal Poly SLO,82,TAM C. Christi,70
California,83,Alcorn St,59
Campbell,73,Colgate,71
Charlotte,69,Oregon St,66
Chattanooga,79,ULM,52
Chicago St,83,W Illinois,76
Citadel,97,SC Upstate,92
Cleveland St,73,Bethune-Cookman,62
Colorado,76,Portland,63
Creighton,82,Akron,70
CS Fullerton,78,Pacific,77
CS Northridge,79,Idaho St,76
Dayton,83,Winthrop,67
Denver,57,Weber St,55
Drexel,78,High Point,72
Duke,94,Maine,55
E Kentucky,89,Marshall,80
East Carolina,69,NC Central,56
Evansville,72,Boise St,67
Fresno St,78,Drake,76
Furman,79,Navy,46
G Washington,68,South Florida,67
Gardner Webb,86,VMI,68
George Mason,79,Mercer,68
Gonzaga,69,Arizona,62
Hampton,79,William & Mary,69
Hartford,87,Sacred Heart,79
Harvard,64,Fordham,52
Hofstra,88,FL Atlantic,80
Houston,105,Prairie View,61
Howard,71,American Univ,54
Idaho,68,UC Davis,66
Illinois,64,VA Commonwealth,46
Illinois St,79,New Mexico,74
Incarnate Word,90,Long Island,79
Indiana St,62,Utah St,61
IPFW,87,Miami OH,71
IUPUI,73,Ball St,62
James Madison,71,Longwood,59
Kansas,89,Stanford,74
Kansas St,84,St Louis,53
La Salle,83,Bucknell,73
Lehigh,64,Robert Morris,58
Louisiana Tech,88,SE Louisiana,59
Louisville,79,Grand Canyon,70
Loyola MD,64,Mt St Mary's,57
Loyola-Chicago,65,San Diego St,59
Maryland,71,Oklahoma St,70
Miami FL,74,Wofford,57
Michigan,82,Kennesaw,55
Michigan St,80,Oral Roberts,76
Minnesota,56,Vanderbilt,52
Mississippi,85,Memphis,77
Missouri,59,WKU,56
Montana,75,WI Milwaukee,69
MTSU,67,South Alabama,55
Murray St,86,Detroit,76
N Kentucky,72,Norfolk St,61
NC State,77,Boston Univ,73
NE Omaha,98,Iowa,89
Nebraska,73,South Dakota,61
Nevada,91,Bradley,69
New Hampshire,56,Holy Cross,53
New Mexico St,93,Long Beach St,85
New Orleans,70,Washington St,54
NJIT,75,MA Lowell,74
Northwestern,80,DePaul,64
Northwestern LA,79,UTEP,67
Oakland,78,Southern Utah,68
Ohio,79,Bryant,53
Ohio St,70,F Dickinson,62
Old Dominion,60,Towson,58
Oregon,128,Savannah St,59
Penn St,72,Wright St,50
Portland St,87,UTRGV,74
Providence,63,Rhode Island,60
Purdue,90,Morehead St,56
Rutgers,72,Morgan St,58
S Dakota St,77,Missouri KC,68
S Illinois,74,TX Southern,70
San Diego,80,Northern Arizona,65
San Jose St,55,Santa Clara,40
Siena,80,Fairfield,73
Southern Univ,83,Florida A&M,71
St Bonaventure,90,Buffalo,84
Stony Brook,77,Northeastern,75
Syracuse,77,North Florida,71
TCU,77,Arkansas St,54
Temple,70,Penn,62
Tennessee,81,Georgia Tech,58
Tennessee St,72,Lipscomb,71
Tennessee Tech,79,Alabama A&M,74
Texas Tech,85,Rice,84
UCF,65,Massachusetts,62
UCLA,97,Kentucky,92
ULL,92,McNeese St,72
UNC Asheville,79,Coastal Car,77
UNC Greensboro,72,Liberty,65
USC,91,BYU,84
UT Arlington,77,North Texas,61
Utah Valley,75,UT San Antonio,71
Villanova,88,St Joseph's PA,57
W Carolina,58,Appalachian St,53
Wake Forest,75,Richmond,67
West Virginia,66,Virginia,57
WI Green Bay,78,Toledo,77
Wichita St,82,Colorado St,67
Wisconsin,90,Oklahoma,70
Wyoming,81,Northern Iowa,73
Yale,59,Albany NY,55
Campbell,97,Citadel,91
Cincinnati,85,Bowling Green,56
Clemson,85,Coppin St,43
Col Charleston,76,Davidson,61
E Illinois,90,IL Chicago,76
E Washington,93,Seattle,88
FL Gulf Coast,85,Ga Southern,82
Florida St,67,G Washington,48
Georgetown,77,Elon,74
Indiana,83,SE Missouri St,55
Jackson St,75,Southern Miss,64
Marquette,89,Georgia,79
Mississippi St,82,Georgia St,60
Monmouth NJ,94,Canisius,88
Niagara,74,Iona,58
North Carolina,95,Radford,50
Notre Dame,107,NC A&T,53
Quinnipiac,77,Marist,63
Samford,81,Jacksonville St,77
SC Upstate,71,Colgate,65
SMU,74,Delaware St,60
South Carolina,70,Florida Intl,54
St Peter's,84,Manhattan,70
Troy,83,Alabama St,65
Boise St,80,Loy Marymount,79
Connecticut,52,Syracuse,50
CS Bakersfield,81,Northern Arizona,47
Iowa,95,Stetson,68
Iowa St,91,NE Omaha,47
Jacksonville,76,Bethune-Cookman,66
Lafayette,74,St Francis NY,72
Louisiana Tech,98,Alcorn St,65
Portland,90,UTRGV,89
Rider,71,Siena,69
St John's,76,CS Northridge,70
Texas A&M,86,TAM C. Christi,69
WI Milwaukee,83,Montana St,78
Arizona,79,UC Irvine,57
Arkansas,84,Houston,72
Ball St,80,Bradley,63
Belmont,78,Lipscomb,76
Bucknell,75,Fairfield,64
C Michigan,107,WI Green Bay,97
California,62,Princeton,51
Chattanooga,96,Marshall,85
DePaul,80,Lamar,61
Duke,84,Florida,74
Evansville,69,Bowling Green,66
FL Atlantic,79,Ohio St,77
Florida St,98,Southern Miss,49
Furman,61,Liberty,58
Harvard,86,Northeastern,80
Illinois,85,IUPUI,77
Kansas,105,Missouri KC,62
Kansas St,74,Prairie View,55
Marquette,84,Fresno St,81
Miami FL,82,S Carolina St,46
Michigan,53,Texas,50
Michigan St,77,Youngstown St,57
Minnesota,74,NJIT,68
Missouri,81,Miami OH,55
Monmouth NJ,81,Wagner,71
Morgan St,85,Manhattan,82
Navy,76,Bryant,74
NC Central,79,Long Island,56
New Hampshire,80,American Univ,70
Notre Dame,87,IPFW,72
Providence,95,Brown,57
Purdue,97,Arizona St,64
Rhode Island,51,Old Dominion,39
Robert Morris,64,Duquesne,60
Rutgers,79,Central Conn,37
Sacred Heart,91,MA Lowell,82
Seton Hall,68,Hawaii,57
St Bonaventure,81,Hofstra,75
Stony Brook,62,Lehigh,57
Tennessee,90,Presbyterian,50
UNC Asheville,78,Elon,67
Utah,87,Utah Valley,80
Vanderbilt,90,High Point,63
Villanova,89,La Salle,79
Virginia,76,East Carolina,53
Wake Forest,91,Charlotte,74
Wichita St,75,St Louis,45
Akron,87,Coppin St,63
Albany NY,78,Marist,66
Army,79,Air Force,71
Binghamton,73,Colgate,64
BYU,77,Weber St,66
Canisius,87,Boston Univ,77
Cleveland St,85,W Michigan,62
Colorado,68,Xavier,66
Creighton,77,Nebraska,62
E Kentucky,80,Jacksonville,76
G Washington,66,Temple,63
Gardner Webb,69,Hampton,63
George Mason,85,Penn St,66
Georgia Tech,76,VA Commonwealth,73
Gonzaga,98,Washington,71
Grand Canyon,76,San Diego St,72
Harvard,74,Boston College,66
Houston Bap,62,St Peter's,47
Indiana St,72,Butler,71
Iona,90,F Dickinson,73
Kent,100,Niagara,72
Kentucky,87,Valparaiso,63
Long Beach St,75,Pepperdine,66
Louisville,74,S Illinois,51
Loyola-Chicago,77,Wright St,64
Maine,55,Holy Cross,53
Maryland,79,Howard,56
Missouri St,79,SE Missouri St,71
Montana,81,San Jose St,62
N Kentucky,80,E Illinois,70
New Mexico,78,UTEP,77
North Carolina,83,Davidson,74
North Dakota,74,N Dakota St,56
Northern Iowa,86,S Dakota St,58
Oklahoma,92,Oral Roberts,66
Penn,81,Lafayette,52
Pittsburgh,84,Buffalo,79
Princeton,75,Hawaii,62
Quinnipiac,99,Hartford,79
San Diego,82,CS Fullerton,75
Seton Hall,60,California,57
SMU,74,TCU,59
South Dakota,74,Montana St,57
Stetson,80,Edwardsville,72
Texas A&M,80,Denver,58
Texas Tech,87,UT San Antonio,50
Toledo,73,Detroit,65
Towson,70,Loyola MD,53
Tulane,84,Southern Univ,75
Tulsa,70,Illinois St,68
UTRGV,72,Texas St,61
UAB,84,SF Austin,73
UMBC,78,Mt St Mary's,70
Vermont,73,Dartmouth,58
Virginia Tech,75,MD E Shore,59
Washington St,61,Idaho,48
West Virginia,90,W Carolina,37
Wisconsin,78,Idaho St,44
Ark Little Rock,67,Ark Pine Bluff,52
Florida St,118,Nicholls St,63
Iowa,78,Iowa St,64
Loy Marymount,75,Southern Utah,68
Massachusetts,72,Pacific,48
MTSU,71,Vanderbilt,48
North Texas,73,Delaware St,40
St John's,90,Fordham,62
UT Arlington,65,St Mary's CA,51
Yale,66,Sacred Heart,52
Creighton,113,Longwood,58
FL Gulf Coast,73,Siena,69
Hartford,65,Boston College,63
Minnesota,86,Ga Southern,49
Navy,69,Columbia,54
Wake Forest,78,UNC Greensboro,75
Albany NY,74,Colgate,66
American Univ,77,Youngstown St,62
Arizona,79,Missouri,60
Arizona St,74,San Diego St,63
Ark Little Rock,70,Cent Arkansas,59
Arkansas,91,North Florida,76
Ball St,91,E Kentucky,86
Bowling Green,74,Detroit,61
Bradley,83,Chicago St,48
Buffalo,87,Coppin St,52
Butler,75,Cincinnati,65
BYU,79,Colorado,71
California,86,UC Davis,61
Canisius,91,St Francis NY,81
Clemson,90,Mercer,47
Coastal Car,70,NC Central,67
Colorado St,81,N Colorado,64
CS Bakersfield,81,Portland St,79
CS Fullerton,75,Southern Utah,62
Dayton,75,ETSU,61
Denver,77,Air Force,65
Duke,94,UNLV,45
Duquesne,70,Central Conn,67
E Illinois,63,W Illinois,49
Evansville,78,Murray St,46
Fresno St,73,Cal Poly SLO,59
Furman,68,Gardner Webb,65
G Washington,79,Howard,62
George Mason,79,Penn,60
Georgetown,93,La Salle,78
Gonzaga,61,Akron,43
Grand Canyon,73,IL Chicago,69
Houston,82,Rhode Island,77
Illinois,92,C Michigan,73
Illinois St,74,TN Martin,57
Indiana,103,Houston Bap,61
Iona,79,Ohio,75
IPFW,98,Austin Peay,58
Jackson St,68,Drake,63
Jacksonville,85,Marist,64
Kansas,89,Nebraska,72
Kansas St,70,Washington St,56
Kent,87,NJIT,71
Lehigh,90,Mt St Mary's,71
Lipscomb,98,Morehead St,84
Louisville,102,TX Southern,71
Loy Marymount,69,CS Northridge,68
Loyola MD,90,Binghamton,85
Loyola-Chicago,72,WI Milwaukee,56
Maine,73,Dartmouth,68
Manhattan,60,Fordham,53
Marshall,111,Toledo,105
Maryland,66,St Peter's,56
Memphis,62,UAB,55
Miami OH,71,IUPUI,68
Michigan St,71,Tennessee Tech,63
Monmouth NJ,81,Army,71
N Kentucky,80,SE Missouri St,66
NC State,67,Tennessee St,55
NE Omaha,97,Montana St,91
New Hampshire,86,Bryant,73
New Mexico St,84,New Mexico,71
Niagara,65,Norfolk St,61
Northeastern,59,Vermont,57
Northern Iowa,78,North Dakota,70
Oakland,74,Robert Morris,53
Ohio St,64,Connecticut,60
Oklahoma St,71,Tulsa,67
Pittsburgh,81,Penn St,73
Princeton,67,Liberty,64
Providence,75,Massachusetts,69
Purdue,77,Cleveland St,53
Radford,68,Elon,56
Rice,70,SF Austin,63
Richmond,78,UMBC,75
Rider,73,Pacific,66
Rutgers,71,Stony Brook,66
S Dakota St,80,Idaho,77
Sam Houston St,79,S Illinois,73
South Dakota,72,CS Sacramento,56
Stetson,87,South Alabama,78
Syracuse,99,Boston Univ,77
TCU,72,Wofford,63
Temple,74,DePaul,65
Texas,71,Long Beach St,65
Texas A&M,83,S Carolina St,76
Texas St,64,Prairie View,57
Towson,90,F Dickinson,87
Troy,88,Alabama A&M,59
Tulane,71,Southern Miss,64
UCF,76,MD E Shore,58
UCLA,102,Michigan,84
ULL,91,Louisiana Tech,83
ULM,88,Jacksonville St,83
UNC Wilmington,81,St Bonaventure,80
Utah St,80,Utah Valley,79
VA Commonwealth,67,Old Dominion,64
Valparaiso,84,Missouri St,81
Villanova,74,Notre Dame,66
W Michigan,74,James Madison,67
Wagner,68,Morgan St,66
West Virginia,90,VMI,55
Wichita St,76,Oklahoma,73
Wisconsin,93,Marquette,84
Wyoming,85,Montana,83
Xavier,77,Utah,69
FL Gulf Coast,82,Florida Intl,63
Florida St,83,Florida,78
Holy Cross,75,Quinnipiac,57
Kentucky,96,Hofstra,73
Long Island,74,St John's,73
Minnesota,77,N Illinois,57
Nevada,87,Washington,85
North Carolina,73,Tennessee,71
Northwestern,83,New Orleans,49
Oregon,65,Alabama,56
Sacred Heart,85,Lafayette,61
San Diego,77,Santa Barbara,68
Savannah St,93,Oregon St,90
St Joseph's PA,72,Drexel,71
St Louis,45,Chicago St,43
St Mary's CA,84,UC Irvine,53
USC,93,Pepperdine,67
Virginia Tech,80,Mississippi,75
WKU,77,Indiana St,59
Yale,81,Delaware,63
Boston College,72,Auburn,71
Canisius,77,Albany NY,64
George Mason,97,Longwood,60
Lehigh,100,St Francis PA,67
Maryland,92,Jacksonville St,66
Penn,58,UCF,49
San Diego St,73,Alabama St,41
SE Louisiana,108,Florida A&M,69
Seattle,63,Ark Pine Bluff,58
Seton Hall,67,South Carolina,64
South Florida,79,Bethune-Cookman,73
UTRGV,98,North Florida,84
Cincinnati,96,TX Southern,58
Clemson,93,S Carolina St,65
Denver,64,South Alabama,51
E Washington,88,Morehead St,86
Ga Southern,72,FL Gulf Coast,59
Hartford,70,Dartmouth,66
Hofstra,96,Stony Brook,58
Louisiana Tech,65,Prairie View,52
LSU,70,NC Central,66
Massachusetts,65,NC A&T,59
Michigan,97,Cent Arkansas,53
Monmouth NJ,82,Memphis,79
New Mexico St,79,UTEP,68
Oregon,81,Montana,67
Santa Clara,77,UC Riverside,53
SC Upstate,76,Presbyterian,48
Tennessee,74,Tennessee Tech,68
Villanova,78,Temple,57
VMI,88,Charleston So,83
Yale,90,Central Conn,59
Arizona,64,Grand Canyon,54
Ark Little Rock,72,Northern Arizona,67
Arkansas St,87,TN Martin,68
Baylor,89,Southern Univ,59
ETSU,67,Mississippi St,65
Evansville,85,Norfolk St,66
Georgia,73,ULL,60
Georgia St,94,Alabama A&M,79
IL Chicago,80,DePaul,75
Iona,94,NJIT,80
Jacksonville St,72,Howard,59
Minnesota,76,Long Island,66
Missouri St,86,Oral Roberts,76
MTSU,79,Belmont,66
N Dakota St,74,UC Davis,70
Nevada,76,UC Irvine,69
Northwestern,68,Chicago St,64
Ohio,71,WI Milwaukee,69
Oklahoma St,102,Ark Pine Bluff,66
Rider,81,Kennesaw,79
Rutgers,82,F Dickinson,69
S Illinois,70,St Louis,55
SMU,92,McNeese St,56
St Joseph's PA,76,Princeton,68
St Mary's CA,73,WKU,51
Tennessee St,68,Alabama St,46
Texas Tech,89,Nicholls St,46
UCLA,102,Santa Barbara,62
UNC Wilmington,96,Campbell,75
UNLV,92,Incarnate Word,64
Wisconsin,73,WI Green Bay,59
Youngstown St,101,Niagara,97
Alabama,78,SC Upstate,61
Auburn,117,Coastal Car,72
Col Charleston,53,East Carolina,35
G Washington,74,UCF,59
Ga Southern,75,Florida Intl,68
Mississippi,78,Murray St,73
NC State,97,Appalachian St,64
NE Omaha,80,Missouri KC,75
Pacific,66,NC A&T,57
Seattle,82,MS Valley St,67
Tennessee,92,Lipscomb,77
Wofford,96,Austin Peay,77
Arkansas St,89,Cent Arkansas,77
Long Beach St,71,Oregon St,67
Miami FL,76,FL Atlantic,56
N Dakota St,87,North Dakota,70
Portland,85,South Dakota,82
Portland St,82,San Francisco,78
Rider,90,Drexel,82
S Carolina St,69,Furman,67
Samford,82,South Alabama,79
UTRGV,95,Lamar,81
UT Arlington,56,Bradley,51
Akron,99,Marshall,88
Albany NY,87,St Francis NY,60
Appalachian St,73,James Madison,61
Arizona,67,Texas A&M,63
Arkansas,77,Texas,74
Baylor,82,Jackson St,57
Binghamton,85,Delaware St,66
Butler,83,Indiana,78
California,81,Cal Poly SLO,55
Canisius,94,Buffalo,87
Cincinnati,119,F Dickinson,68
Creighton,66,Oral Roberts,65
CS Sacramento,88,Abilene Chr,86
Denver,73,N Colorado,70
DePaul,109,Chicago St,61
Detroit,85,WKU,79
E Illinois,67,Missouri,64
ETSU,78,Morehead St,68
Evansville,77,Austin Peay,69
Florida,87,Charlotte,46
Florida St,83,Manhattan,67
Fresno St,70,Pacific,68
Georgetown,78,Syracuse,71
Georgia,84,Charleston So,64
Grand Canyon,72,MS Valley St,62
Houston,83,UTRGV,58
Illinois,75,BYU,73
Iowa,69,Northern Iowa,46
Iowa St,97,Drake,80
IUPUI,101,Southern Utah,81
Jacksonville,75,Florida A&M,72
Kansas,89,Davidson,71
Kansas St,89,Colorado St,70
Kentucky,103,North Carolina,100
La Salle,84,FL Gulf Coast,80
Lipscomb,81,Tennessee Tech,79
Louisiana Tech,89,Grambling,55
Louisville,87,E Kentucky,56
Loy Marymount,91,Incarnate Word,90
Loyola-Chicago,81,IL Chicago,75
LSU,88,TX Southern,80
Massachusetts,95,Kennesaw,77
Memphis,99,Oklahoma,94
Michigan,98,MD E Shore,49
Missouri St,71,SE Missouri St,66
Montana,71,UC Riverside,63
N Illinois,60,Florida Intl,53
NC Central,74,McNeese St,66
New Mexico,83,Ark Pine Bluff,43
New Mexico St,81,Arizona St,70
Northern Arizona,76,UTEP,74
Northwestern,67,Dayton,64
Northwestern LA,68,ULM,64
Ohio,71,Cleveland St,53
Oklahoma St,93,Wichita St,76
Oregon,83,UNLV,63
Pittsburgh,83,Rice,73
Providence,76,Wagner,54
Purdue,86,Notre Dame,81
S Dakota St,88,Murray St,84
Sam Houston St,76,North Texas,70
Seton Hall,81,Delaware,68
Siena,71,Bucknell,68
South Carolina,77,South Florida,66
St Bonaventure,79,Niagara,69
St Louis,72,Edwardsville,58
Stony Brook,75,St Francis PA,63
Temple,68,NJIT,63
Texas Tech,79,Richmond,72
TN Martin,97,Bethune-Cookman,72
Toledo,78,SE Louisiana,56
Towson,73,UMBC,72
Tulsa,74,Texas St,59
UCLA,86,Ohio St,73
ULL,76,New Orleans,71
UNC Asheville,59,W Carolina,57
UNC Wilmington,100,Radford,64
USC,82,Troy,77
Utah,92,Prairie View,60
VA Commonwealth,80,MTSU,77
Valparaiso,89,Indiana St,71
Vanderbilt,76,Chattanooga,74
Vermont,82,E Michigan,74
Virginia,79,Robert Morris,39
Virginia Tech,113,Citadel,71
W Illinois,75,WI Milwaukee,59
Washington St,69,Santa Clara,68
Weber St,93,Utah Valley,85
West Virginia,112,Missouri KC,67
Winthrop,86,Hampton,79
Wyoming,97,Cornell,78
Xavier,69,Wake Forest,65
Auburn,76,Mercer,74
Boise St,82,Idaho St,59
Boston College,82,Sacred Heart,75
Boston Univ,73,New Hampshire,69
Clemson,67,Alabama,54
Connecticut,80,North Florida,59
Dartmouth,82,Long Island,68
Elon,68,St Peter's,53
Gardner Webb,70,Nebraska,62
Georgia Tech,74,Alcorn St,50
Gonzaga,86,Tennessee,76
Illinois St,81,St Joseph's PA,72
IPFW,93,Stetson,74
Jacksonville St,67,SC Upstate,66
MA Lowell,86,Central Conn,69
N Kentucky,70,E Washington,48
NC State,99,Fairfield,78
NE Omaha,102,CS Fullerton,96
Northeastern,81,Michigan St,73
Old Dominion,58,Georgia St,46
Penn St,92,St John's,76
Portland,53,Oregon St,45
Quinnipiac,85,Maine,75
Rhode Island,65,Holy Cross,54
Rider,60,NC A&T,59
Rutgers,68,Fordham,53
San Jose St,77,Bowling Green,76
South Dakota,80,Montana St,68
TAM C. Christi,73,UT San Antonio,69
TCU,96,TX Southern,59
UAB,75,Southern Univ,74
UCF,80,Miami OH,73
Washington,92,W Michigan,86
Wright St,68,Kent,63
American Univ,61,MD E Shore,58
Ball St,61,Longwood,45
Belmont,62,WI Milwaukee,56
Bucknell,81,Mt St Mary's,65
Colorado,75,Air Force,68
Denver,74,Ark Pine Bluff,52
DePaul,81,SE Missouri St,78
Duke,65,Tennessee St,55
Duquesne,74,Jackson St,62
Florida St,76,Samford,68
Furman,68,Tennessee Tech,62
Indiana,103,Delaware St,56
Lamar,82,Liberty,65
Loy Marymount,69,Colorado St,66
LSU,75,Col Charleston,65
Marquette,78,St Francis PA,65
McNeese St,70,Tulane,63
Mississippi,66,Bradley,49
Mississippi St,86,Southern Miss,44
Missouri St,66,Chicago St,46
Morehead St,111,Cent Arkansas,85
New Mexico St,85,UC Irvine,79
Norfolk St,87,E Kentucky,80
Notre Dame,77,Colgate,62
Oral Roberts,63,Ark Little Rock,48
Purdue,82,W Illinois,50
Rice,100,Northwestern LA,93
S Dakota St,83,Drake,75
San Francisco,86,Abilene Chr,51
Seattle,89,Southern Utah,75
SMU,72,Stanford,49
St Bonaventure,92,Army,83
Syracuse,105,E Michigan,57
UMBC,120,Citadel,111
UNC Greensboro,75,UNC Asheville,73
UNLV,68,S Illinois,61
USC,79,Cornell,67
Utah St,76,New Orleans,66
